Node       Visible Definition                Description                   
S035R13    Y       Parm14/G(total)           G(tau- --> eta pi- nu_tau)/G(total)
S035R12    N       Parm181/Parm2             G(tau- --> h- #text{#def{>=}0#p{K0L} } nu_tau)/G(tau- --> e- nubar_e nu_tau)
S035R00    Y       Parm339/G(total)          G(tau- --> pi- omega nu_tau)/G(total)
S035R59    Y       Parm39/G(total)           G(tau- --> mu- pi0)/G(total)  
S035R58    Y       Parm38/G(total)           G(tau- --> e- e+ e-)/G(total) 
S035R2     Y       Parm2/G(total)            G(tau- --> e- nubar_e nu_tau)/G(total)
S035R51    N       (Parm31+Parm32)/G(total)  (G(tau- --> mu- gamma)+G(tau- --> e- gamma))/G(total)
S035R50    Y       Parm66/G(total)           G(tau- --> eta pi+ pi- pi- #text{ #def{>=}0 neutrals } nu_tau)/G(total)
S035R53    Y       Parm31/G(total)           G(tau- --> mu- gamma)/G(total)
S035R52    N       Parm188/G(total)          G(tau- --> e- #text{charged particles} + #text{#tex{\hbox\bgroup}}mu-#text{charged particles#tex{\egroup}})/G(total)
S035R55    Y       Parm35/G(total)           G(tau- --> mu- mu+ mu-)/G(total)
S035C62    Y       Parm296/G(total)          G(tau- --> K- K+ K- pi0 nu_tau)/G(total)
S035R57    Y       Parm37/G(total)           G(tau- --> mu- e+ e-)/G(total)
S035R56    Y       Parm36/G(total)           G(tau- --> e- mu+ mu-)/G(total)
S035S99    Y       Parm92/Parm25             G(tau- --> h- rho+ h- nu_tau)/G(tau- --> h- h- h+ pi0 nu_tau)
S035R6     Y       Parm12/G(total)           G(tau- --> pi- nu_tau)/G(total)
S035C25    Y       Parm264/G(total)          G(tau- --> K- pi+ pi- pi0 nu_tau  #text{(ex.#p{K0})})/G(total)
S035B20    Y       Parm109/G(total)          G(tau- --> eta K- nu_tau)/G(total)
S035B21    Y       Parm27/Parm171            G(tau- --> h- 2pi0 nu_tau #text{(ex.#p{K0})})/G(tau- --> h- pi0 nu_tau)
S035B22    Y       Parm26/Parm171            G(tau- --> h- 3pi0 nu_tau)/G(tau- --> h- pi0 nu_tau)
S035B23    Y       Parm110/G(total)          G(tau- --> h- 4pi0 nu_tau #text{#tex{\hbox\bgroup }(ex.#p{K0},#p{eta})#tex{\egroup}})/G(total)
S035B25    Y       Parm112/Parm194           G(tau- --> h- h- h+ 2pi0 nu_tau #text{(ex.#p{K0})})/G(tau- --> h- h- h+ #text{#tex{\hbox\bgroup}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau #text{#tex{\egroup}})
S035B26    Y       Parm113/Parm194           G(tau- --> h- omega pi0 nu_tau)/G(tau- --> h- h- h+ #text{#tex{\hbox\bgroup}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau #text{#tex{\egroup}})
S035B27    Y       Parm113/Parm112           G(tau- --> h- omega pi0 nu_tau)/G(tau- --> h- h- h+ 2pi0 nu_tau #text{(ex.#p{K0})})
S035B28    N       Parm208/G(total)*Parm191/G(total) G(tau- --> h- h- h+ nu_tau #text{(ex.#p{K0})})/G(total)*G(tau- --> #text{#tex{\hbox\bgroup }particle#charge{-}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau#text{#tex{\egroup}})/G(total)
S035B29    Y       Parm182/G(total)          G(tau- --> K- pi0 nu_tau)/G(total)
S035R24    Y       Parm191/G(total)          G(tau- --> #text{#tex{\hbox\bgroup }particle#charge{-}#def{>=}0 neutrals #def{>=}0#p{K0L}} nu_tau#text{#tex{\egroup}})/G(total)
S035R23    Y       Parm8/G(total)            G(tau- --> h- omega nu_tau)/G(total)
S035C49    Y       Parm283/Parm201           G(tau- --> pi- 2pi0 nu_tau  #text{(ex.#p{K0}), #tex{\hbox\bgroup} vector#tex{\egroup}})/G(tau- --> pi- 2pi0 nu_tau  #text{(ex.#p{K0})})
S035C48    Y       Parm282/Parm201           G(tau- --> pi- 2pi0 nu_tau  #text{(ex.#p{K0}), #tex{\hbox\bgroup} scalar#tex{\egroup}})/G(tau- --> pi- 2pi0 nu_tau  #text{(ex.#p{K0})})
S035C47    Y       Parm281/G(total)          G(tau- --> X- #text{(#italic{S}=#n{-1})} nu_tau)/G(total)
S035C46    Y       Parm280/G(total)          G(tau- --> K_0^*(1430)- nu_tau)/G(total)
S035C45    Y       Parm279/G(total)          G(tau- --> K^*(1410)- nu_tau)/G(total)
S035C44    Y       Parm278/G(total)          G(tau- --> pi- K0 Kbar0 pi0 nu_tau)/G(total)
S035C43    Y       Parm277/G(total)          G(tau- --> pi(1300)- nu_tau --> #text{((#d{pi pi})#sub{#italic{S}-#roman{wave}} #p{pi})#charge{-}#tex{\allowbreak}} nu_tau --> #text{(3#p{pi})#charge{-}} nu_tau)/G(total)
S035C42    Y       Parm276/G(total)          G(tau- --> pi(1300)- nu_tau --> #text{(#d{rho pi})#charge{-}#tex{\allowbreak}} nu_tau --> #text{(3#p{pi})#charge{-}} nu_tau)/G(total)
S035C41    Y       Parm125/(Parm125+Parm126) G(tau- --> K_1(1270)- nu_tau)/(G(tau- --> K_1(1270)- nu_tau)+G(tau- --> K_1(1400)- nu_tau))
S035C40    Y       Parm275/G(total)          G(tau- --> K- pi+ pi- #text{#def{>=}0#p{pi0}} nu_tau #text{(ex.#p{K0})})/G(total)
S035C33    Y       Parm271/G(total)          G(tau- --> K- h+ pi- pi0 nu_tau #text{(ex.#p{K0})})/G(total)
S035C77    Y       Parm248/Parm258           G(tau- --> K- K+ K- nu_tau)/G(tau- --> pi- pi+ pi- nu_tau #text{(ex.#p{K0})})
S035R3     N       (Parm1*Parm2)**0.5/G(total) (G(tau- --> mu- nubar_mu nu_tau)*G(tau- --> e- nubar_e nu_tau))**0.5/G(total)
S035C38    Y       Parm273/G(total)          G(tau- --> K- K0 #text{#def{>=}0#p{pi0}} nu_tau)/G(total)
S035R28    Y       Parm17/G(total)           G(tau- --> h- h- h+ nu_tau)/G(total)
S035C87    Y       Parm320/G(total)          G(tau- --> 2pi- pi+ 3pi0 nu_tau #text{ (ex.#p{K0}, #p{eta}, #p{omega}, #p{f_1(1285)}) })/G(total)
S035C39    Y       Parm274/G(total)          G(tau- --> e- nubar_e nu_tau gamma)/G(total)
S035R29    N       Parm13/G(total)           G(tau- --> pi- pi- pi+ #text{non-}rho(770)0 nu_tau)/G(total)
S035R9     Y       Parm21/G(total)           G(tau- --> K^*(892)- nu_tau)/G(total)
S035R07    Y       Parm343/G(total)          G(tau- --> pi- K0L K0L pi0 nu_tau)/G(total)
S035B19    N       Parm108/G(total)          G(tau- --> pi- pi0)/G(total)  
S035B18    N       Parm107/G(total)          G(tau- --> pi- gamma)/G(total)
S035R41    Y       Parm6/G(total)            G(tau- --> K- pi+ pi- #text{#def{>=}0 neutrals } nu_tau)/G(total)
S035B15    Y       Parm104/G(total)          G(tau- --> pbar gamma)/G(total)
S035B14    Y       Parm114/G(total)          G(tau- --> mu- eta)/G(total)  
S035B17    Y       Parm106/G(total)          G(tau- --> pbar eta)/G(total) 
S035B16    Y       Parm105/G(total)          G(tau- --> pbar pi0)/G(total) 
S035B11    Y       Parm102/Parm2             G(tau- --> e- #text{light boson})/G(tau- --> e- nubar_e nu_tau)
S035B10    N       Parm101/G(total)          G(tau- --> lepton+- pi-+ K-)/G(total)
S035B12    Y       Parm103/Parm2             G(tau- --> mu- #text{light boson})/G(tau- --> e- nubar_e nu_tau)
S035B95    N       Parm236/G(total)          G(tau- --> h- h- h+ 3pi0 nu_tau)/G(total)
S035B94    Y       Parm235/Parm230           G(tau- --> f_1(1285) pi- nu_tau --> eta pi- pi+ pi- nu_tau)/G(tau- --> eta pi- pi+ pi- nu_tau #text{(ex.#p{K0})})
