# RESULTS FOR MEASUREMENTS
# MEAS GAMMA    NODE    MEASVALUE    MEASERROR   EXPR   AUTHOR      YR   TITLE 
# ---- ------- -------  -----------  ----------  ------ ----------- ---  --------------------------------------------------------------------------------------------------
*  150 60      S035C19 0.084200000 2.588056e-03  BELLE  LEE         10   G(pi- pi- pi+ nu(tau) (ex. K0)) / G(total)
*  151 85      S035C21 0.003300000 1.667386e-04  BELLE  LEE         10   G(K- pi- pi+ nu(tau) (ex. K0)) / G(total)
*  152 93      S035R40 0.001550000 5.596652e-05  BELLE  LEE         10   G(pi- K- K+ nu(tau)) / G(total)
*  153 126     S035R32 0.001350000 7.615770e-05  BELLE  INAMI       09   G(pi- pi0 eta nu(tau)) / G(total)
*  154 128     S035B20 0.000158000 1.029563e-05  BELLE  INAMI       09   G(K- eta nu(tau)) / G(total)
*  155 130     S035C27 0.000046000 1.170470e-05  BELLE  INAMI       09   G(K- pi0 eta nu(tau)) / G(total)
*  156 132     S035C28 0.000088000 1.523155e-05  BELLE  INAMI       09   G(Kbar0 pi- eta nu(tau)) / G(total)
*  157 96      S035C9  0.000032900 2.592279e-06  BELLE  LEE         10   G(K- K- K+ nu(tau)) / G(total)
*  158 9       S035R6  10.905E-02  0.041E-02     UNIV   UNIV        00   G(pi- nu(tau)) / G(total)
*  159 10      S035R7  0.717E-02   0.004E-02     UNIV   UNIV        00   G(K- nu(tau)) / G(total)
#
# INPUT CORRELATIONS BETWEEN MEASUREMENTS (PERCENT)
#
# INDEX   1
%   5  29  20.0 
%   5  30 -47.0 
%   5  33  13.0 
%   5  51  -8.0 
%   5  55  16.0 
%   5  66  -4.0 
%   5  72  -2.0 
%   5  94  -6.0 
%   5 100  -4.0 
%   5 115 -24.0 
%   5 120 -15.0 
%  29  30 -27.0
%  29  33   4.0
%  29  51 -17.0
%  29  55   4.0
%  29  66  -5.0
%  29  72  -5.0
%  29  94  -8.0
%  29 100   3.0
%  29 115 -17.0
%  29 120 -37.0
%  30  33  10.0
%  30  51 -14.0
%  30  55  -2.0
%  30  66  -4.0
%  30  72   0.0
%  30  94  -4.0
%  30 100   2.0
%  30 115 -15.0
%  30 120   2.0
%  33  51  -6.0
%  33  55 -17.0
%  33  66  -2.0
%  33  72   0.0
%  33  94  -4.0
%  33 100   4.0
%  33 115 -23.0
%  33 120 -14.0
%  51  55 -15.0
%  51  66  -9.0
%  51  72 -14.0
%  51  94   9.0
%  51 100  -3.0
%  51 115  15.0
%  51 120  -5.0
%  55  66 -12.0
%  55  72 -13.0
%  55  94  -5.0
%  55 100  -1.0
%  55 115 -25.0
%  55 120 -30.0
%  66  72 -20.0
%  66  94   1.0
%  66 100  -4.0
%  66 115  -6.0
%  66 120 -12.0
%  72  94   0.0
%  72 100   1.0
%  72 115  -9.0
%  72 120 -16.0
%  94 100 -24.0
%  94 115   9.0
%  94 120   4.0
% 100 115  -3.0
% 100 120  -5.0
% 115 120   2.0
# INDEX   2
%  27  34 -53.0
%  27  43  -2.0
%  27  47   3.0
%  27  48 -78.0
%  27  77  -3.0
%  27  93  -3.0
%  27  99   0.0
%  27 121  -1.0
%  34  43  -7.0
%  34  47  -2.0
%  34  48  26.0
%  34  77   0.0
%  34  93  -2.0
%  34  99   1.0
%  34 121  -8.0
%  43  47  -6.0
%  43  48  -1.0
%  43  77   6.0
%  43  93  -1.0
%  43  99   0.0
%  43 121 -34.0
%  47  48  -6.0
%  47  77 -86.0
%  47  93   0.0
%  47  99   0.0
%  47 121  38.0
%  48  77   3.0
%  48  93   3.0
%  48  99   5.0
%  48 121  -1.0
%  77  93   0.0
%  77  99   0.0
%  77 121 -66.0 
%  93  99 -57.0
%  93 121  -1.0
%  99 121   0.0
# INDEX   3
%  36  90 -19.0
# INDEX   4
%  45  76  48.0
%  45 113   7.0
%  76 113 -42.0
# INDEX   5
%  50  53  47.0
%  50 103  71.0
%  53 103  34.0
# INDEX   6
%  68  73   7.8
# INDEX   7
%  82 116  60.0
# INDEX   8
%  135  136        24.0480847757
%  135  137        10.1645629790
%  135  138         1.0715875109
%  135  139         1.3039849498
%  135  140         0.7704521318
%  135  141         3.1319511976
%  135  142         1.3025868507
%  135  143         1.6043503445
%  135  144         0.5551888804
%  135  145         0.3966290062
%  135  146         0.5959549574
%  135  147         0.4621239520
%  136  137        31.4572553050
%  136  138         7.9963236441
%  136  139         9.0235310020
